Time|s,zon.T|degC
257400,20.054712
258148.48,19.999994
258148.48,19.999994
258300,20.001917
259200,20.359766
260100,20.880487
261000,21.29101
261900,21.566858
262800,21.742212
263700,21.851679
264600,21.919947
265500,21.962915
266400,21.990534
266822.34,21.999994
266822.34,21.999994
267300,21.867884
268200,21.348688
269100,20.876978
270000,20.535181
270900,20.30285
271800,20.147303
272700,20.04275
273200.06,19.999994
273200.06,19.999994
273600,20.045984
274500,20.4927
275400,20.98849
276300,21.35592
277200,21.597681
278100,21.750208
279000,21.84521
279900,21.904505
280800,21.94198
281700,21.966364
282600,21.983637
283500,21.997004
283730.56,21.999994
283730.56,21.999994
284400,21.764246
285300,21.231073
286200,20.784388
287100,20.46728
288000,20.253992
288900,20.114008
289800,20.022974
290105.22,19.999994
290105.22,19.999994
290700,20.119623
291600,20.61706
292500,21.096155
293400,21.439936
294300,21.665491
295200,21.809687
296100,21.90185
297000,21.961206
297890.4,21.999994
297890.4,21.999994
297900,22.000269
298800,21.641535
299700,21.129572
300600,20.729883
301500,20.454218
302400,20.272486
303300,20.154993
304200,20.079706
305100,20.031641
306000,20.000849
306030.97,19.999994
306030.97,19.999994
306900,20.281702
307800,20.824457
308700,21.278101
309600,21.589655
310500,21.790033
311400,21.915949
312300,21.994684
312378.78,21.999994
312378.78,21.999994
313200,21.711756
314100,21.205591
315000,20.797297
315900,20.511225
316800,20.319086
317700,20.19015
318600,20.10119
319500,20.037348
320188.22,19.999994
320188.22,19.999994
320400,20.011286
321300,20.403772
322200,20.924433
323100,21.325495
324000,21.591242
324900,21.757502
325800,21.858881
326700,21.919703
327600,21.955622
328500,21.97674
329400,21.990198
330298.66,21.999994
330298.66,21.999994
330300,22.000025
331200,21.626703
332100,21.099695
333000,20.687769
333900,20.402277
334800,20.211786
335700,20.08523
336600,20.000025
336600.34,19.999994
336600.34,19.999994
337500,20.262293
338400,20.775934
339300,21.201166
340200,21.489557
341100,21.671564
342000,21.782831
342900,21.849543
343800,21.88888
344700,21.911463
345600,21.923883
346500,21.930445
347400,21.934778
348300,21.938807
349200,21.942957
350100,21.947168
351000,21.951807
351900,21.956903
352800,21.962
353700,21.966455
354600,21.96972
355500,21.97149
356400,21.971827
357300,21.97088
358200,21.96853
359100,21.964441
360000,21.95843
360900,21.950006
361800,21.938745
362700,21.924982
363600,21.91009
364500,21.895472
365400,21.88177
366300,21.869074
367200,21.857508
368100,21.847345
369000,21.838923
369900,21.832514
370800,21.828394
371700,21.826899
372600,21.828302
373500,21.832178
374400,21.837397
375300,21.842188
376200,21.845148
377100,21.84701
378000,21.850428
378900,21.858088
379800,21.869837
380700,21.884516
381600,21.901423
382500,21.92013
383400,21.940332
384300,21.961817
385200,21.984217
385820.44,21.999994
385820.44,21.999994
386100,21.951685
387000,21.477167
387900,20.992304
388800,20.636042
389700,20.396936
390600,20.242853
391500,20.14599
392400,20.086298
393300,20.050379
394200,20.029383
395100,20.017725
396000,20.011896
396900,20.009882
397800,20.011042
398700,20.014582
399600,20.019068
400500,20.022974
401400,20.025446
402300,20.025873
403200,20.023584
404100,20.01803
405000,20.00921
405743.47,19.999994
405743.47,19.999994
405900,20.00918
406800,20.398127
407700,20.939386
408600,21.362146
409500,21.64425
410400,21.821985
411300,21.93136
412200,21.99795
412236.06,21.999994
412236.06,21.999994
413100,21.679773
414000,21.167719
414900,20.757532
415800,20.467768
416700,20.27035
417600,20.13653
418500,20.044916
419095.44,19.999994
419095.44,19.999994
419400,20.024378
420300,20.443018
421200,20.948023
422100,21.327936
423000,21.577112
423900,21.731867
424800,21.825434
425700,21.881372
426600,21.916315
427500,21.939173
428400,21.953821
429300,21.961512
430200,21.964472
431100,21.964655
432000,21.963099
432900,21.960443
433800,21.957117
434700,21.953333
435600,21.949244
436500,21.945429
437400,21.943384
438300,21.943506
439200,21.94433
440100,21.943933
441000,21.94198
441900,21.938807
442800,21.934565
443700,21.929193
