Time|s,walCap.T|degC
0,19.999994
900,19.990717
1800,19.98144
2700,19.972162
3600,19.962885
4500,19.95379
5400,19.944666
6300,19.935572
7200,19.926477
8100,19.917505
9000,19.908564
9900,19.899591
10800,19.89068
11700,19.881739
12600,19.872828
13500,19.863947
14400,19.855127
15300,19.846338
16200,19.83755
17100,19.82876
18000,19.820002
18900,19.811274
19800,19.802515
20700,19.793756
21600,19.784998
22500,19.77627
23400,19.767511
24300,19.758783
25200,19.750086
26100,19.741388
27000,19.732752
27900,19.724176
28800,19.715662
29700,19.70724
30600,19.698816
31500,19.690607
32400,19.682428
33300,19.674341
34200,19.666437
35100,19.658625
36000,19.650965
36900,19.643427
37800,19.636011
38700,19.628748
39600,19.621607
40500,19.614557
41400,19.60766
42300,19.600885
43200,19.594233
44100,19.58761
45000,19.58111
45900,19.574701
46800,19.568384
47700,19.562159
48600,19.555933
49500,19.549799
50400,19.543726
51300,19.537714
52200,19.531763
53100,19.525812
54000,19.519861
54900,19.513971
55800,19.508081
56700,19.502192
57600,19.496302
58500,19.490412
59400,19.484491
60300,19.47857
61200,19.472681
62100,19.46676
63000,19.46081
63900,19.454828
64800,19.448816
65700,19.442774
66600,19.4367
67500,19.430567
68400,19.424372
69300,19.418299
70200,19.412256
71100,19.406214
72000,19.40014
72900,19.394098
73800,19.388025
74700,19.381952
75600,19.37591
76500,19.369867
77400,19.363825
78300,19.357782
79200,19.35177
80100,19.345728
81000,19.339716
81900,19.333704
82800,19.327662
83700,19.321619
84600,19.315577
85500,19.309534
86400,19.303492
87300,19.297297
88200,19.290888
89100,19.284266
90000,19.277643
90900,19.27102
91800,19.264643
92700,19.258295
93600,19.251917
94500,19.245508
95400,19.2391
96300,19.23266
97200,19.226221
98100,19.219751
99000,19.213312
99900,19.207026
100800,19.200708
101700,19.194605
102600,19.188623
103500,19.182703
104400,19.176874
105300,19.171045
106200,19.165216
107100,19.159418
108000,19.15368
108900,19.147943
109800,19.142237
110700,19.1365
111600,19.130823
112500,19.125116
113400,19.11941
114300,19.113764
115200,19.10818
116100,19.102564
117000,19.09701
117900,19.091547
118800,19.086084
119700,19.080652
120600,19.075342
121500,19.070002
122400,19.064692
123300,19.059473
124200,19.054285
125100,19.049128
126000,19.044031
126900,19.038996
127800,19.03399
128700,19.028986
129600,19.024012
130500,19.019037
131400,19.014002
132300,19.008997
133200,19.003962
134100,18.998896
135000,18.993555
135900,18.988214
136800,18.98269
137700,18.977137
138600,18.97149
139500,18.965876
140400,18.96029
141300,18.954737
142200,18.949366
143100,18.944025
144000,18.938776
144900,18.933527
145800,18.928247
146700,18.922998
147600,18.917658
148500,18.912256
149400,18.906733
150300,18.901117
151200,18.895563
152100,18.89007
153000,18.884668
153900,18.879389
154800,18.87414
155700,18.868921
156600,18.863764
157500,18.858637
158400,18.85351
159300,18.848475
160200,18.84344
161100,18.838434
162000,18.83352
162900,18.8287
163800,18.823877
164700,18.819056
165600,18.813929
166500,18.808771
167400,18.803614
168300,18.798304
169200,18.792902
170100,18.78747
171000,18.782068
171900,18.776667
172800,18.771265
173700,18.765863
174600,18.760462
175500,18.75506
176400,18.749659
177300,18.744287
178200,18.738886
179100,18.733484
180000,18.728083
180900,18.72265
181800,18.717188
182700,18.711756
183600,18.706293
184500,18.70083
185400,18.695398
186300,18.689936
187200,18.684504
188100,18.67901
189000,18.673365
189900,18.667719
190800,18.661951
191700,18.656122
192600,18.650263
193500,18.64422
194400,18.638178
195300,18.632105
196200,18.62597
197100,18.619776
198000,18.61355
198900,18.607294
199800,18.600977
200700,18.59466
201600,18.588282
202500,18.581842
203400,18.575403
204300,18.568811
205200,18.56219
206100,18.555536
207000,18.548914
207900,18.542353
208800,18.535822
209700,18.529291
210600,18.52276
211500,18.516413
212400,18.510035
213300,18.503687
214200,18.497309
215100,18.491114
216000,18.484919
216900,18.478724
217800,18.472559
218700,18.466425
219600,18.460321
220500,18.454187
221400,18.448084
222300,18.44195
223200,18.435846
224100,18.429743
225000,18.42364
225900,18.417536
226800,18.411432
227700,18.405329
228600,18.399225
229500,18.393122
230400,18.387018
231300,18.380945
232200,18.374872
233100,18.3688
234000,18.362726
234900,18.356623
235800,18.35055
236700,18.344477
237600,18.338404
238500,18.33233
239400,18.326258
240300,18.320185
241200,18.314112
242100,18.308008
243000,18.301935
243900,18.295893
244800,18.28982
245700,18.283777
246600,18.277735
247500,18.271692
248400,18.26562
249300,18.259577
250200,18.253534
251100,18.247461
252000,18.241419
252900,18.235376
253800,18.229303
254700,18.22326
255600,18.217218
256500,18.211176
257400,18.205133
258300,18.199121
259200,18.193079
260100,18.187067
261000,18.181025
261900,18.175013
262800,18.16897
263700,18.162958
264600,18.156916
265500,18.150904
266400,18.144861
267300,18.13885
268200,18.132807
269100,18.126795
270000,18.120722
270900,18.114618
271800,18.108545
272700,18.102442
273600,18.096338
274500,18.090235
275400,18.084131
276300,18.077997
277200,18.071863
278100,18.06573
279000,18.059595
279900,18.053522
280800,18.04745
281700,18.041407
282600,18.035364
283500,18.029322
284400,18.02328
285300,18.017237
286200,18.011225
287100,18.005304
288000,17.999384
288900,17.993525
289800,17.987665
290700,17.981836
291600,17.976007
292500,17.97024
293400,17.964472
294300,17.958735
295200,17.952997
296100,17.94729
297000,17.941584
297900,17.935938
298800,17.930292
299700,17.924677
300600,17.919123
301500,17.913599
302400,17.908136
303300,17.902674
304200,17.897272
305100,17.89187
306000,17.8865
306900,17.881067
307800,17.875635
308700,17.870234
309600,17.864801
310500,17.8594
311400,17.853998
312300,17.848597
313200,17.843164
314100,17.837732
315000,17.8323
315900,17.826868
316800,17.821344
317700,17.81576
318600,17.810053
319500,17.804163
320400,17.798243
321300,17.79217
322200,17.786066
323100,17.779871
324000,17.773645
324900,17.767328
325800,17.76095
326700,17.75451
327600,17.748041
328500,17.74154
329400,17.73498
330300,17.728449
331200,17.72198
332100,17.71551
333000,17.70904
333900,17.702448
334800,17.695856
335700,17.689264
336600,17.682673
337500,17.67605
338400,17.669458
339300,17.662836
340200,17.65603
341100,17.649225
342000,17.642328
342900,17.63531
343800,17.62829
344700,17.62118
345600,17.613977
346500,17.606775
347400,17.599665
348300,17.592554
349200,17.585443
350100,17.578333
351000,17.571344
351900,17.564356
352800,17.557367
353700,17.550379
354600,17.543177
355500,17.536005
356400,17.528833
357300,17.5216
358200,17.514215
359100,17.506739
360000,17.499018
360900,17.491144
361800,17.482996
362700,17.474604
363600,17.466059
364500,17.45724
365400,17.448298
366300,17.439264
367200,17.430109
368100,17.420923
369000,17.411676
369900,17.4024
370800,17.393152
371700,17.383875
372600,17.374842
373500,17.365839
374400,17.356836
375300,17.347773
376200,17.338709
377100,17.329706
378000,17.320734
378900,17.311945
379800,17.303308
380700,17.294794
381600,17.286524
382500,17.278345
383400,17.270319
384300,17.262415
385200,17.254663
386100,17.247034
387000,17.239527
387900,17.232172
388800,17.224848
389700,17.217676
390600,17.210566
391500,17.203547
392400,17.196619
393300,17.189753
394200,17.183008
395100,17.176325
396000,17.169764
396900,17.163324
397800,17.156946
398700,17.15069
399600,17.144526
400500,17.138483
401400,17.132502
402300,17.12649
403200,17.120508
404100,17.114557
405000,17.108484
405900,17.10238
406800,17.096216
407700,17.08999
408600,17.083735
409500,17.077448
410400,17.0711
411300,17.064722
412200,17.058283
413100,17.051813
414000,17.045282
414900,17.038721
415800,17.032068
416700,17.025293
417600,17.018457
418500,17.01156
419400,17.004602
420300,16.997583
421200,16.990473
422100,16.983301
423000,16.976068
423900,16.968775
424800,16.96142
425700,16.954004
426600,16.946558
427500,16.93905
428400,16.931513
429300,16.923914
430200,16.916285
431100,16.908594
432000,16.900843
432900,16.89306
433800,16.885279
434700,16.877436
435600,16.869562
436500,16.861628
437400,16.853662
438300,16.845667
439200,16.83758
440100,16.82934
441000,16.82107
441900,16.812708
442800,16.804285
443700,16.79577
444600,16.787195
445500,16.77862
446400,16.770014
447300,16.761377
448200,16.75265
449100,16.74389
450000,16.735102
450900,16.726313
451800,16.717493
452700,16.708643
453600,16.699762
454500,16.690851
455400,16.68191
456300,16.672937
457200,16.663965
458100,16.654932
459000,16.645899
459900,16.636805
460800,16.62774
461700,16.61886
462600,16.60998
463500,16.60116
464400,16.592432
465300,16.583735
466200,16.575037
467100,16.566523
468000,16.557978
468900,16.549463
469800,16.54107
470700,16.53274
471600,16.52447
472500,16.51629
473400,16.508173
474300,16.500086
475200,16.491968
476100,16.48385
477000,16.475733
477900,16.467646
478800,16.459558
479700,16.451624
480600,16.44369
481500,16.435755
482400,16.42779
483300,16.419764
484200,16.411646
485100,16.403528
486000,16.395441
486900,16.387262
487800,16.379023
488700,16.370783
489600,16.362543
490500,16.35412
491400,16.345606
492300,16.336786
493200,16.327906
494100,16.318933
495000,16.3099
495900,16.300776
496800,16.29159
497700,16.282282
498600,16.272882
499500,16.263422
500400,16.253931
501300,16.244379
502200,16.234766
503100,16.225092
504000,16.215387
504900,16.205622
505800,16.195704
506700,16.185633
507600,16.175562
508500,16.165552
509400,16.155603
510300,16.145624
511200,16.135798
512100,16.12594
513000,16.116114
513900,16.106348
514800,16.096582
515700,16.086695
516600,16.076685
517500,16.066645
518400,16.056574
519300,16.046534
520200,16.036463
521100,16.0263
522000,16.016169
522900,16.006037
523800,15.995905
524700,15.985682
525600,15.975367
526500,15.965021
527400,15.954706
528300,15.944361
529200,15.933954
530100,15.923487
531000,15.912989
531900,15.902491
532800,15.891962
533700,15.881342
534600,15.870722
535500,15.860102
536400,15.849329
537300,15.838434
538200,15.827539
539100,15.816675
540000,15.805658
540900,15.794611
541800,15.783533
542700,15.772455
543600,15.761347
544500,15.750269
545400,15.739252
546300,15.728357
547200,15.717615
548100,15.707117
549000,15.696924
549900,15.686853
550800,15.676996
551700,15.667292
552600,15.65774
553500,15.64834
554400,15.639124
555300,15.629969
556200,15.620966
557100,15.612116
558000,15.603357
558900,15.594629
559800,15.585871
560700,15.577173
561600,15.568537
562500,15.559961
563400,15.551477
564300,15.543055
565200,15.534723
566100,15.5264225
567000,15.518152
567900,15.509943
568800,15.501764
569700,15.493525
570600,15.485254
571500,15.477015
572400,15.468714
573300,15.460352
574200,15.45196
575100,15.443537
576000,15.434992
576900,15.426325
577800,15.417536
578700,15.408472
579600,15.399408
580500,15.390284
581400,15.381128
582300,15.3718815
583200,15.362635
584100,15.353174
585000,15.343653
585900,15.334009
586800,15.324305
587700,15.3146305
588600,15.304926
589500,15.295221
590400,15.285456
591300,15.275721
592200,15.265802
593100,15.255854
594000,15.245874
594900,15.235773
595800,15.225672
596700,15.21557
597600,15.205469
598500,15.195368
599400,15.185328
600300,15.175287
601200,15.165247
602100,15.155207
603000,15.145166
603900,15.135065
604800,15.124872
605700,15.114649
606600,15.104273
607500,15.093866
608400,15.08346
609300,15.073053
610200,15.062647
611100,15.05224
612000,15.041834
612900,15.031458
613800,15.021051
614700,15.010645
615600,15.000238
616500,14.989862
617400,14.979456
618300,14.96908
619200,14.9586735
620100,14.948236
621000,14.937677
621900,14.927149
622800,14.91659
623700,14.906061
624600,14.895533
625500,14.885004
626400,14.8744755
627300,14.863947
628200,14.853418
629100,14.84289
630000,14.832392
630900,14.821894
631800,14.811426
632700,14.800989
633600,14.790674
634500,14.780542
635400,14.770777
636300,14.761347
637200,14.752069
638100,14.743006
639000,14.734095
639900,14.725428
640800,14.716944
641700,14.708612
642600,14.700403
643500,14.692316
644400,14.684351
645300,14.676416
646200,14.668543
647100,14.660791
648000,14.65307
648900,14.645472
649800,14.637903
650700,14.630426
651600,14.62298
652500,14.615625
653400,14.608362
654300,14.60113
655200,14.593988
656100,14.586908
657000,14.579828
657900,14.572779
658800,14.565821
659700,14.558893
660600,14.552027
661500,14.545008
662400,14.538019
663300,14.531031
664200,14.524012
665100,14.516993
666000,14.509974
666900,14.502924
667800,14.495905
668700,14.488886
669600,14.481836
670500,14.474817
671400,14.467798
672300,14.460749
673200,14.45373
674100,14.446741
675000,14.439905
675900,14.433069
676800,14.426233
677700,14.419458
678600,14.4127445
679500,14.406031
680400,14.399347
681300,14.392633
682200,14.38595
683100,14.379236
684000,14.372553
684900,14.365839
685800,14.359156
686700,14.352472
687600,14.345789
688500,14.339106
689400,14.332422
690300,14.325739
691200,14.319056
692100,14.312403
693000,14.305719
693900,14.299036
694800,14.292383
695700,14.2857
696600,14.2790165
697500,14.272364
698400,14.265833
699300,14.259333
700200,14.252832
701100,14.246363
702000,14.239862
702900,14.233362
703800,14.226892
704700,14.220423
705600,14.2139225
706500,14.207453
707400,14.201044
708300,14.194635
709200,14.188227
710100,14.181818
711000,14.175409
711900,14.169001
712800,14.162592
713700,14.156183
714600,14.149775
715500,14.143457
716400,14.13711
717300,14.130762
718200,14.124506
719100,14.1184025
720000,14.112299
720900,14.106226
721800,14.100275
722700,14.094507
723600,14.088892
724500,14.083368
725400,14.078058
726300,14.072748
727200,14.06756
728100,14.062433
729000,14.057367
729900,14.052393
730800,14.047571
731700,14.042871
732600,14.038294
733500,14.033838
734400,14.029505
735300,14.025324
736200,14.021204
737100,14.017206
738000,14.013269
738900,14.009455
739800,14.005701
740700,14.002069
741600,13.998499
742500,13.994959
743400,13.991419
744300,13.987879
745200,13.984339
746100,13.980799
747000,13.977167
747900,13.973444
748800,13.969721
749700,13.965998
750600,13.962183
751500,13.958185
752400,13.954157
753300,13.950129
754200,13.946131
755100,13.942102
756000,13.938105
756900,13.934076
757800,13.9300785
758700,13.926081
759600,13.922144
760500,13.91839
761400,13.914667
762300,13.910944
763200,13.90719
764100,13.903467
765000,13.899683
765900,13.895838
766800,13.891993
767700,13.888086
768600,13.884119
769500,13.880121
770400,13.876093
771300,13.872004
772200,13.867914
773100,13.863794
774000,13.859613
774900,13.8554325
775800,13.851221
776700,13.846979
777600,13.842737
778500,13.838465
779400,13.834223
780300,13.82995
781200,13.825678
782100,13.821405
783000,13.817102
783900,13.812891
784800,13.808771
785700,13.804651
786600,13.800531
787500,13.796381
788400,13.792261
789300,13.788233
790200,13.784327
791100,13.78039
792000,13.776484
792900,13.772547
793800,13.768549
794700,13.764429
795600,13.760309
796500,13.75622
797400,13.751947
798300,13.747553
799200,13.743067
800100,13.738489
801000,13.73382
801900,13.72909
802800,13.724329
803700,13.719538
804600,13.714716
805500,13.709925
806400,13.7052555
807300,13.700647
808200,13.696253
809100,13.691919
810000,13.687708
810900,13.6835575
811800,13.679529
812700,13.675531
813600,13.671595
814500,13.667749
815400,13.663965
816300,13.660212
817200,13.656549
818100,13.652918
819000,13.649347
819900,13.645838
820800,13.642389
821700,13.638941
822600,13.635553
823500,13.632196
824400,13.6288395
825300,13.625452
826200,13.622034
827100,13.618616
828000,13.615198
828900,13.611811
829800,13.608393
830700,13.604944
831600,13.601496
832500,13.598017
833400,13.594385
834300,13.590754
835200,13.586908
836100,13.583033
837000,13.578974
837900,13.574854
838800,13.570642
839700,13.566309
840600,13.561884
841500,13.557337
842400,13.552668
843300,13.547907
844200,13.543024
845100,13.53805
846000,13.533014
846900,13.527857
