Time|s,walCap.T|degC
0,19.999994
900,19.990717
1800,19.98144
2700,19.972162
3600,19.962885
4500,19.95379
5400,19.944666
6300,19.935572
7200,19.926477
8100,19.917505
9000,19.908564
9900,19.899591
10800,19.89068
11700,19.881739
12600,19.872828
13500,19.863947
14400,19.855127
15300,19.846338
16200,19.83755
17100,19.82876
18000,19.820002
18900,19.811274
19800,19.802515
20700,19.793756
21600,19.785028
22500,19.77627
23400,19.767542
24300,19.758905
25200,19.750391
26100,19.74203
27000,19.734186
27900,19.727655
28800,19.724298
29700,19.724787
30600,19.728937
31500,19.735651
32400,19.74444
33300,19.75509
34200,19.76748
35100,19.781397
36000,19.796656
36900,19.812983
37800,19.82998
38700,19.84707
39600,19.863459
40500,19.878443
41400,19.891474
42300,19.90188
43200,19.90896
44100,19.912683
45000,19.913172
45900,19.911493
46800,19.90832
47700,19.904291
48600,19.900019
49500,19.89593
50400,19.892359
51300,19.889338
52200,19.886438
53100,19.883326
54000,19.879663
54900,19.875452
55800,19.870874
56700,19.86593
57600,19.86056
58500,19.854914
59400,19.848993
60300,19.843042
61200,19.83703
62100,19.830988
63000,19.824884
63900,19.81878
64800,19.812616
65700,19.80639
66600,19.800135
67500,19.79394
68400,19.787745
69300,19.78155
70200,19.775354
71100,19.76922
72000,19.763056
72900,19.756922
73800,19.750757
74700,19.744623
75600,19.738611
76500,19.7326
77400,19.726618
78300,19.720606
79200,19.714594
80100,19.70843
81000,19.702265
81900,19.6961
82800,19.689936
83700,19.68374
84600,19.677576
85500,19.671381
86400,19.665216
87300,19.65896
88200,19.6524
89100,19.645746
90000,19.63894
90900,19.632257
91800,19.625666
92700,19.619165
93600,19.612635
94500,19.606104
95400,19.599543
96300,19.59295
97200,19.586359
98100,19.579798
99000,19.573298
99900,19.566797
100800,19.56042
101700,19.554132
102600,19.548029
103500,19.542017
104400,19.536097
105300,19.530146
106200,19.524225
107100,19.518335
108000,19.512445
108900,19.506586
109800,19.500757
110700,19.494959
111600,19.489191
112500,19.483423
113400,19.477777
114300,19.472132
115200,19.466516
116100,19.460901
117000,19.455347
117900,19.449823
118800,19.4443
119700,19.438837
120600,19.433374
121500,19.427942
122400,19.422571
123300,19.417292
124200,19.412073
125100,19.406916
126000,19.40185
126900,19.396753
127800,19.391687
128700,19.386621
129600,19.381617
130500,19.376581
131400,19.371515
132300,19.366419
133200,19.361322
134100,19.356195
135000,19.350763
135900,19.3453
136800,19.339685
137700,19.33401
138600,19.328302
139500,19.322565
140400,19.316858
141300,19.311243
142200,19.30575
143100,19.300287
144000,19.294916
144900,19.289576
145800,19.284204
146700,19.278833
147600,19.273401
148500,19.267939
149400,19.262232
150300,19.256556
151200,19.25091
152100,19.245295
153000,19.239832
153900,19.23443
154800,19.22909
155700,19.22378
156600,19.2185
157500,19.213282
158400,19.208063
159300,19.202906
160200,19.197779
161100,19.192682
162000,19.187647
162900,19.182703
163800,19.17782
164700,19.172907
165600,19.167933
166500,19.162897
167400,19.157587
168300,19.152155
169200,19.146662
170100,19.141138
171000,19.135645
171900,19.130121
172800,19.124628
173700,19.119104
174600,19.113611
175500,19.108118
176400,19.102625
177300,19.097132
178200,19.091639
179100,19.086176
180000,19.080835
180900,19.075495
181800,19.070124
182700,19.064753
183600,19.059351
184500,19.05395
185400,19.048517
186300,19.043116
187200,19.03753
188100,19.031946
189000,19.02624
189900,19.020472
190800,19.014673
191700,19.008722
192600,19.00274
193500,18.996729
194400,18.990595
195300,18.98443
196200,18.978174
197100,18.971888
198000,18.96554
198900,18.959253
199800,18.952906
200700,18.946558
201600,18.94015
202500,18.93371
203400,18.92721
204300,18.920618
205200,18.913996
206100,18.907282
207000,18.90066
207900,18.894037
208800,18.887384
209700,18.880732
210600,18.87417
211500,18.867731
212400,18.861322
213300,18.854914
214200,18.848475
215100,18.842188
216000,18.835932
216900,18.829676
217800,18.82345
218700,18.817255
219600,18.81106
220500,18.804895
221400,18.7987
222300,18.792536
223200,18.78634
224100,18.780176
225000,18.773981
225900,18.767817
226800,18.761621
227700,18.755426
228600,18.749262
229500,18.743067
230400,18.736902
231300,18.730707
232200,18.724543
233100,18.718348
234000,18.712183
234900,18.705988
235800,18.699823
236700,18.693659
237600,18.687464
238500,18.6813
239400,18.675104
240300,18.66894
241200,18.662745
242100,18.65658
243000,18.650415
243900,18.64425
244800,18.638086
245700,18.631952
246600,18.625788
247500,18.619654
248400,18.61349
249300,18.607325
250200,18.60119
251100,18.595026
252000,18.588892
252900,18.582727
253800,18.576563
254700,18.570429
255600,18.564264
256500,18.55813
257400,18.551996
258300,18.545893
259200,18.539759
260100,18.533625
261000,18.52749
261900,18.521357
262800,18.515253
263700,18.509119
264600,18.502985
265500,18.496851
266400,18.490747
267300,18.484613
268200,18.47848
269100,18.472254
270000,18.465998
270900,18.459742
271800,18.453485
272700,18.44723
273600,18.440973
274500,18.434717
275400,18.428461
276300,18.422235
277200,18.41604
278100,18.409815
279000,18.40362
279900,18.397394
280800,18.391169
281700,18.384974
282600,18.37884
283500,18.372766
284400,18.366693
285300,18.36062
286200,18.354548
287100,18.348475
288000,18.342402
288900,18.33645
289800,18.33053
290700,18.32464
291600,18.31875
292500,18.313013
293400,18.307245
294300,18.301508
295200,18.29577
296100,18.290033
297000,18.284327
297900,18.27862
298800,18.273005
299700,18.267359
300600,18.261744
301500,18.25622
302400,18.250696
303300,18.245203
304200,18.23977
305100,18.2344
306000,18.229029
306900,18.223627
307800,18.218164
308700,18.212732
309600,18.2073
310500,18.201838
311400,18.196314
312300,18.19079
313200,18.185236
314100,18.179682
315000,18.174067
315900,18.168268
316800,18.16247
317700,18.156702
318600,18.150904
319500,18.1448
320400,18.138666
321300,18.132532
322200,18.126276
323100,18.119928
324000,18.113611
324900,18.10708
325800,18.10055
326700,18.093927
327600,18.087244
328500,18.08053
329400,18.073908
330300,18.067316
331200,18.060694
332100,18.054132
333000,18.047663
333900,18.041193
334800,18.034723
335700,18.028162
336600,18.02154
337500,18.014887
338400,18.008265
339300,18.001398
340200,17.994501
341100,17.987635
342000,17.980616
342900,17.973505
343800,17.966394
344700,17.959131
345600,17.951868
346500,17.944574
347400,17.937311
348300,17.930079
349200,17.922876
350100,17.915766
351000,17.908686
351900,17.901575
352800,17.894495
353700,17.887384
354600,17.880182
355500,17.872828
356400,17.865442
357300,17.858088
358200,17.850641
359100,17.843042
360000,17.83523
360900,17.827234
361800,17.818995
362700,17.810572
363600,17.801844
364500,17.792963
365400,17.78399
366300,17.774805
367200,17.765558
368100,17.75628
369000,17.746943
369900,17.737543
370800,17.728205
371700,17.719385
372600,17.711786
373500,17.705896
374400,17.703028
375300,17.70379
376200,17.708033
377100,17.715265
378000,17.72552
378900,17.738611
379800,17.754175
380700,17.771845
381600,17.791101
382500,17.811548
383400,17.832819
384300,17.854761
385200,17.877161
386100,17.899988
387000,17.923182
387900,17.94665
388800,17.970362
389700,17.994074
390600,18.017664
391500,18.040827
392400,18.063135
393300,18.084436
394200,18.104486
395100,18.123224
396000,18.140558
396900,18.156397
397800,18.17068
398700,18.182611
399600,18.191584
400500,18.196833
401400,18.19906
402300,18.198938
403200,18.197199
404100,18.19436
405000,18.190607
405900,18.18606
406800,18.18072
407700,18.174768
408600,18.168451
409500,18.16192
410400,18.155329
411300,18.148645
412200,18.141932
413100,18.135187
414000,18.128382
414900,18.121485
415800,18.114527
416700,18.107508
417600,18.100397
418500,18.093225
419400,18.085962
420300,18.078638
421200,18.071222
422100,18.063715
423000,18.056147
423900,18.048517
424800,18.040857
425700,18.033197
426600,18.025507
427500,18.017786
428400,18.010004
429300,18.002192
430200,17.994287
431100,17.986292
432000,17.978235
432900,17.970148
433800,17.96197
434700,17.95379
435600,17.945581
436500,17.937311
437400,17.92898
438300,17.920618
439200,17.912195
440100,17.903742
441000,17.895227
441900,17.886683
442800,17.878046
443700,17.869379
444600,17.86062
445500,17.8518
446400,17.84295
447300,17.83404
448200,17.825037
449100,17.816004
450000,17.80691
450900,17.797754
451800,17.788538
452700,17.779291
453600,17.770014
454500,17.760767
455400,17.75155
456300,17.742395
457200,17.733454
458100,17.725092
459000,17.717554
459900,17.711329
460800,17.70843
461700,17.709803
462600,17.714777
463500,17.722345
464400,17.732111
465300,17.743708
466200,17.756617
467100,17.770227
468000,17.783777
468900,17.796442
469800,17.80752
470700,17.815851
471600,17.820124
472500,17.819757
473400,17.81576
474300,17.810266
475200,17.804804
476100,17.799768
477000,17.794886
477900,17.78927
478800,17.78271
479700,17.775385
480600,17.767603
481500,17.760065
482400,17.753412
483300,17.747889
484200,17.742792
485100,17.737879
486000,17.732874
486900,17.727716
487800,17.722315
488700,17.71667
489600,17.710627
490500,17.704157
491400,17.697199
492300,17.6896
493200,17.681452
494100,17.672693
495000,17.663416
495900,17.653894
496800,17.644281
497700,17.634546
498600,17.62472
499500,17.61474
500400,17.60473
501300,17.59472
502200,17.584711
503100,17.574701
504000,17.564539
504900,17.554377
505800,17.544
506700,17.533503
507600,17.523035
508500,17.512629
509400,17.502253
510300,17.49203
511200,17.481806
512100,17.471582
513000,17.461359
513900,17.451197
514800,17.441004
515700,17.43081
516600,17.420374
517500,17.409906
518400,17.39947
519300,17.389032
520200,17.378595
521100,17.368097
522000,17.357538
522900,17.34698
523800,17.33642
524700,17.325861
525600,17.31524
526500,17.30453
527400,17.293787
528300,17.283045
529200,17.272303
530100,17.261438
531000,17.250544
531900,17.239649
532800,17.228754
533700,17.217737
534600,17.20672
535500,17.195704
536400,17.184595
537300,17.173304
538200,17.162012
539100,17.15072
540000,17.139368
540900,17.127985
541800,17.116571
542700,17.105555
543600,17.095697
544500,17.08764
545400,17.081812
546300,17.079065
547200,17.08047
548100,17.08639
549000,17.096247
549900,17.109034
550800,17.12414
551700,17.141108
552600,17.15951
553500,17.179132
554400,17.19967
555300,17.221094
556200,17.243158
557100,17.26568
558000,17.288599
558900,17.311762
559800,17.335077
560700,17.358484
561600,17.38186
562500,17.405298
563400,17.428675
564300,17.45193
565200,17.475061
566100,17.49792
567000,17.520502
567900,17.542627
568800,17.56402
569700,17.584803
570600,17.604609
571500,17.623468
572400,17.640894
573300,17.656427
574200,17.669764
575100,17.680292
576000,17.686792
576900,17.688623
577800,17.686304
578700,17.681147
579600,17.673883
580500,17.665094
581400,17.65545
582300,17.645441
583200,17.635431
584100,17.625422
585000,17.61529
585900,17.605097
586800,17.594843
587700,17.584528
588600,17.574244
589500,17.563929
590400,17.553614
591300,17.543116
592200,17.532618
593100,17.521997
594000,17.511347
594900,17.500635
595800,17.489862
596700,17.47912
597600,17.468317
598500,17.457575
599400,17.446955
600300,17.436304
601200,17.425684
602100,17.415033
603000,17.40426
603900,17.393427
604800,17.382593
605700,17.371729
606600,17.360651
607500,17.349604
608400,17.338526
609300,17.327478
610200,17.3164
611100,17.305353
612000,17.294306
612900,17.283258
613800,17.272211
614700,17.261164
615600,17.250147
616500,17.2391
617400,17.22796
618300,17.21676
619200,17.205591
620100,17.194422
621000,17.183252
621900,17.172083
622800,17.160913
623700,17.149714
624600,17.138544
625500,17.127375
626400,17.116175
627300,17.105341
628200,17.09472
629100,17.084131
630000,17.07464
630900,17.06701
631800,17.061426
632700,17.058863
633600,17.060663
634500,17.067347
635400,17.077692
636300,17.089746
637200,17.102472
638100,17.115534
639000,17.129023
639900,17.143183
640800,17.158075
641700,17.17373
642600,17.189997
643500,17.206293
644400,17.222132
645300,17.237177
646200,17.251917
647100,17.267176
648000,17.283136
648900,17.299952
649800,17.317469
650700,17.33526
651600,17.353296
652500,17.371485
653400,17.389765
654300,17.408167
655200,17.42666
656100,17.445185
657000,17.46377
657900,17.48205
658800,17.499414
659700,17.514978
660600,17.528284
661500,17.538507
662400,17.54458
663300,17.546198
664200,17.544123
665100,17.539576
666000,17.533411
666900,17.526209
667800,17.518427
668700,17.510431
669600,17.502344
670500,17.494349
671400,17.486353
672300,17.478418
673200,17.470514
674100,17.46264
675000,17.454798
675900,17.447016
676800,17.439264
677700,17.431543
678600,17.423883
679500,17.416224
680400,17.408564
681300,17.400934
682200,17.393305
683100,17.385706
684000,17.378107
684900,17.37057
685800,17.363062
686700,17.355585
687600,17.348078
688500,17.34057
689400,17.333094
690300,17.325556
691200,17.318018
692100,17.31048
693000,17.302942
693900,17.295374
694800,17.287867
695700,17.280329
696600,17.272821
697500,17.265314
698400,17.257776
699300,17.25033
700200,17.242975
701100,17.23562
702000,17.228266
702900,17.220911
703800,17.213587
704700,17.206232
705600,17.198908
706500,17.191553
707400,17.18426
708300,17.176966
709200,17.169672
710100,17.162378
711000,17.155085
711900,17.147821
712800,17.140528
713700,17.133234
714600,17.126032
715500,17.11889
716400,17.11181
717300,17.104944
718200,17.098383
719100,17.092646
720000,17.088068
720900,17.085077
721800,17.083612
722700,17.083338
723600,17.083857
724500,17.0852
725400,17.087214
726300,17.08932
727200,17.090967
728100,17.091852
729000,17.092554
729900,17.094172
730800,17.097162
731700,17.101892
732600,17.107935
733500,17.114618
734400,17.121698
735300,17.129053
736200,17.1365
737100,17.143824
738000,17.15072
738900,17.15716
739800,17.163446
740700,17.170343
741600,17.178553
742500,17.188257
743400,17.197718
744300,17.205896
745200,17.212397
746100,17.217218
747000,17.220514
747900,17.222193
748800,17.22207
749700,17.220087
750600,17.216516
751500,17.212091
752400,17.207361
753300,17.202448
754200,17.197504
755100,17.19256
756000,17.187616
756900,17.182673
757800,17.17779
758700,17.172968
759600,17.168177
760500,17.163355
761400,17.158594
762300,17.153925
763200,17.149256
764100,17.144587
765000,17.139856
765900,17.135035
766800,17.130213
767700,17.125422
768600,17.120478
769500,17.115503
770400,17.11056
771300,17.105585
772200,17.10055
773100,17.095484
774000,17.090387
774900,17.08529
775800,17.080133
776700,17.074976
777600,17.069788
778500,17.0646
779400,17.059443
780300,17.054255
781200,17.049067
782100,17.043879
783000,17.03866
783900,17.033442
784800,17.028315
785700,17.023218
786600,17.018122
787500,17.013086
788400,17.00805
789300,17.003016
790200,16.998041
791100,16.993036
792000,16.988092
792900,16.983149
793800,16.978235
794700,16.973352
795600,16.968409
796500,16.963343
797400,16.958216
798300,16.953028
799200,16.947718
800100,16.942316
801000,16.936884
801900,16.931513
802800,16.926416
803700,16.922052
804600,16.918756
805500,16.917322
806400,16.919062
807300,16.924707
808200,16.933313
809100,16.94433
810000,16.957514
810900,16.972559
811800,16.989283
812700,17.007349
813600,17.026575
814500,17.046839
815400,17.067926
816300,17.089594
817200,17.11175
818100,17.134241
819000,17.156977
819900,17.179895
820800,17.202936
821700,17.226038
822600,17.24911
823500,17.272028
824400,17.294764
825300,17.317163
826200,17.339106
827100,17.360437
828000,17.381006
828900,17.40069
829800,17.419184
830700,17.436335
831600,17.451899
832500,17.465418
833400,17.47677
834300,17.485163
835200,17.490107
836100,17.49154
837000,17.48977
837900,17.486017
838800,17.481043
839700,17.475641
840600,17.470057
841500,17.46438
842400,17.458612
843300,17.452692
844200,17.44668
845100,17.440577
846000,17.43432
846900,17.428064
847800,17.421747
848700,17.415369
