Time|s,zon.T|degC
0,19.999994
900,21.625574
1367.1796,22.999994
1367.1796,22.999994
1800,23.545893
2700,22.849146
3600,21.898005
4500,21.211695
4880.469,20.999994
4880.469,20.999994
5400,21.456171
6027.5166,22.999994
6027.5166,22.999994
6300,23.43545
7200,22.972284
8100,22.019037
9000,21.30227
9534.8955,20.999994
9534.8955,20.999994
9900,21.197687
10678.415,22.999994
10678.415,22.999994
10800,23.260859
11700,23.138239
12600,22.180964
13500,21.420618
14225.146,20.999994
14225.146,20.999994
14400,21.008661
15300,22.824854
15365.289,22.999994
15365.289,22.999994
16200,23.3175
17100,22.385798
18000,21.572168
18900,21.024775
18952.154,20.999994
18952.154,20.999994
19800,22.232721
20088.941,22.999994
20088.941,22.999994
20700,23.468561
21600,22.636652
22500,21.76452
23400,21.157312
23716.76,20.999994
23716.76,20.999994
24300,21.605982
24850.29,22.999994
24850.29,22.999994
25200,23.488672
26100,22.929468
27000,22.00683
27900,21.325891
28523.973,20.999994
28523.973,20.999994
28800,21.098719
29652.152,22.999994
29652.152,22.999994
29700,23.119226
30600,23.251795
31500,22.333063
32400,21.578394
33300,21.083033
33503.938,20.999994
33503.938,20.999994
34200,21.901972
34614.324,22.999994
34614.324,22.999994
35100,23.539515
36000,22.87655
36900,22.027735
37800,21.425562
38700,21.04687
38850.543,20.999994
38850.543,20.999994
39600,22.080286
39937.66,22.999994
39937.66,22.999994
40500,23.563929
41400,22.88305
42300,22.079737
43200,21.511927
44100,21.150171
44651.023,20.999994
44651.023,20.999994
45000,21.245264
45724.51,22.999994
45724.51,22.999994
45900,23.37002
46800,23.283777
47700,22.449305
48600,21.778894
49500,21.334864
50400,21.055048
50640.668,20.999994
50640.668,20.999994
51300,21.889246
51709.434,22.999994
51709.434,22.999994
52200,23.593042
53100,23.014154
54000,22.215418
54900,21.634027
55800,21.25799
56700,21.0216
56807.66,20.999994
56807.66,20.999994
57600,22.241114
57872.117,22.999994
57872.117,22.999994
58500,23.585169
59400,22.900507
60300,22.131647
61200,21.58703
62100,21.23672
63000,21.01629
63086.33,20.999994
63086.33,20.999994
63900,22.30398
64148.348,22.999994
64148.348,22.999994
64800,23.583063
65700,22.889002
66600,22.128626
67500,21.591883
68400,21.24679
69300,21.029474
69461.414,20.999994
69461.414,20.999994
70200,22.10824
70521.28,22.999994
70521.28,22.999994
71100,23.603693
72000,22.966333
72900,22.195185
73800,21.64242
74700,21.285578
75600,21.060755
75936.24,20.999994
75936.24,20.999994
76500,21.681543
76993.93,22.999994
76993.93,22.999994
77400,23.587702
78300,23.133966
79200,22.340204
80100,21.745844
81000,21.357813
81900,21.112848
82513.8,20.999994
82513.8,20.999994
82800,21.173517
83569.43,22.999994
83569.43,22.999994
83700,23.303217
84600,23.376764
85500,22.578913
86400,21.916437
87300,21.472864
88200,21.191217
89100,21.013575
89188.85,20.999994
89188.85,20.999994
90000,22.315058
90242.84,22.999994
90242.84,22.999994
90900,23.59759
91800,22.919764
92700,22.172571
93600,21.644007
94500,21.303675
95400,21.089045
95941.19,20.999994
95941.19,20.999994
96300,21.283411
96993.81,22.999994
96993.81,22.999994
97200,23.42428
98100,23.326136
99000,22.530848
99900,21.890802
100800,21.465113
101700,21.195124
102600,21.024775
102772.875,20.999994
102772.875,20.999994
103500,22.09582
103824.08,22.999994
103824.08,22.999994
104400,23.619654
105300,23.007013
106200,22.249567
107100,21.70434
108000,21.351679
108900,21.129297
109709.52,20.999994
109709.52,20.999994
109800,21.010614
110700,22.830194
110759,22.999994
110759,22.999994
111600,23.526026
112500,22.776972
113400,22.077051
114300,21.596308
115200,21.289118
116100,21.095636
116763.164,20.999994
116763.164,20.999994
117000,21.120447
117810.87,22.999994
117810.87,22.999994
117900,23.223413
118800,23.433893
119700,22.657892
120600,21.995874
121500,21.549738
122400,21.266047
123300,21.087336
123953.34,20.999994
123953.34,20.999994
124200,21.13302
124999.16,22.999994
124999.16,22.999994
125100,23.24856
126000,23.431757
126900,22.658869
127800,22.002588
128700,21.560785
129600,21.279993
130500,21.103235
131309.38,20.999994
131309.38,20.999994
131400,21.01269
132300,22.846277
132353.14,22.999994
132353.14,22.999994
133200,23.538965
134100,22.802454
135000,22.112848
135900,21.638727
136800,21.335566
137700,21.144434
